Stakeholder type;Workplace setting;Data storage;Interpretation of results;Tissue quality;QFeasibility_Small;QFeasibility_Broad;QTestingPathwaySmall _Aanvrag_Low;QTestingPathwaySmall _Aanvrag_Likely;QTestingPathwaySmall _Aanvrag_Highest;QTestingPathwaySmall _Binen_Low;QTestingPathwaySmall _Binnenkomst_Likely;QTestingPathwaySmall _Binnenkomst_Highest;QTestingPathwayBroad _Aanvrag_Low;QTestingPathwayBroad_Aanvrag_Likely;QTestingPathwayBroad_Aanvrag_Highest;QTestingPathwayBroad_Binen_Low;QTestingPathwayBroad _Binnenkomst_Likely;QTestingPathwayBroad _Binnenkomst_Highest;Number of biopsy procedures;Completeness of results;QTestingPathwaySmall;QTestingPathwayBroad;Treatment options;Germline alterations;Biomarkers for informing diagnosis;Pharmacogenomic profiles;Biomarkers for non-response or prognosis;QImplicationsSmall;QImplicationsBroad;Test Uniformity;Future-proofing;QOrganizationSmall;QOrganizationBroad;Infrastructure for learning care system;Learning care system;QScientificSmall;QScientificBroad;QMCDA1_Clinical;QMCDA1_Cost;QMCDA1_Feasibility;QMCDA1_Test;QMCDA1_Implications;QMCDA1_Organization;QMCDA1_Scientific;QMCDA2_Feasibility;QMCDA2_Test;QMCDA2_Implications;QMCDA2_Organization;QMCDA2_Scientific
CMBP;General Center;NA;Disagree;Somewhat disagree;100;49;3;4;5;;;;8;10;12;;;;Disagree;Disagree;81;39;Somewhat disagree;Disagree;Disagree;Somewhat disagree;Neither agree nor disagree;45;70;Disagree;Somewhat agree;71;70;Disagree;Somewhat agree;50;71;20;20;10;15;10;10;15;25;35;10;15;15
CMBP;Academic Center;Agree;Agree;Somewhat agree;90;90;5;7;10;5;7;10;7;10;14;7;10;14;Somewhat disagree;Agree;;;Agree;Agree;Agree;Agree;Agree;70;100;Agree;Agree;70;80;Somewhat agree;Agree;70;90;35;30;10;5;10;5;5;40;10;20;20;10
Pathologist;General Center;NA;Agree;Agree;92;72;1;3;5;3;5;14;7;14;20;11;16;20;Somewhat disagree;Somewhat agree;50;50;Agree;Somewhat disagree;Somewhat agree;Somewhat agree;Agree;50;50;Somewhat disagree;Disagree;100;100;Somewhat agree;Agree;16;91;20;70;5;2;1;1;1;10;70;10;5;5
Pathologist;Academic Center;Agree;Agree;Agree;97;90;9;13;14;11;15;16;5;7;12;6;8;13;Agree;Agree;61;95;Agree;Agree;Agree;Neither agree nor disagree;Agree;40;95;Agree;Agree;50;90;Disagree;Agree;51;97;50;10;0;20;20;0;0;20;30;20;20;10
Pathologist;General Center;Agree;Agree;Agree;100;85;5;7;10;5;7;10;6;7;14;6;7;14;Agree;Agree;;;Agree;Agree;Agree;Agree;Agree;;;Agree;Agree;;;Disagree;Agree;;;40;0;0;10;30;10;10;0;10;60;20;10
CMBP;General Center;Agree;Agree;Agree;95;75;;;;3;6;12;;;;6;8;12;Somewhat disagree;Agree;95;75;Agree;Agree;Agree;Neither agree nor disagree;Neither agree nor disagree;70;86;Somewhat agree;Somewhat agree;46;88;Somewhat disagree;Somewhat agree;50;95;20;10;40;10;10;0;10;60;10;10;10;10
CMBP;Academic Center;Agree;Agree;Agree;95;95;3;5;7;;;;4;7;10;;;;Neither agree nor disagree;Agree;90;90;Agree;Disagree;Somewhat agree;Somewhat agree;Agree;40;80;Agree;Agree;40;90;Somewhat disagree;Agree;40;90;20;10;15;15;10;20;10;20;20;15;30;15
Pathologist;Academic Center;Agree;Agree;Somewhat disagree;90;60;2;3;5;3;4;6;5;7;10;6;8;11;Disagree;Agree;50;100;Agree;Agree;Agree;Agree;Agree;10;100;Somewhat agree;Agree;50;80;Disagree;Agree;20;90;40;5;10;10;20;5;10;20;10;50;10;10
CMBP;General Center;Agree;Agree;Agree;100;100;3;4;6;4;5;7;4;5;6;5;6;7;Agree;Agree;80;100;Agree;Neither agree nor disagree;Agree;Agree;Agree;60;100;Agree;Agree;60;100;Disagree;Agree;50;100;20;20;10;10;20;10;10;30;20;30;10;10
CMBP;Academic Center;Agree;Agree;Agree;100;100;5;6;7;5;6;7;7;9;11;7;9;11;Dont know;Agree;90;90;Agree;Somewhat disagree;Somewhat agree;NA;Agree;80;100;Agree;Agree;50;95;Disagree;Agree;30;100;15;15;0;10;30;20;10;0;20;35;30;15
